# TA_all_positions_ITRF00.csv
# All Telescope Array positions in WGS84/ITRF00
# ENU coordinates relative to CLF ground origin (ITRF00)
#   Origin: lat=39.296917698, lon=-112.908732386, h=1370.017 m
#
# outlier=1: flagged for review
# sigma_h, sigma_horizontal: estimated uncertainties (m)
#
category,site,name,latitude,longitude,h_itrf00,sigma_h,east_clf,north_clf,up_clf,sigma_horizontal,frame,source,outlier,notes
Surface Detector,TA SD,TA_1013,39.260000,-112.940000,1378.285000,1.000000,-2693.600000,-4109.700000,8.300000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.0m
Surface Detector,TA SD,TA_1014,39.271000,-112.940000,1378.629000,1.000000,-2693.600000,-2885.100000,8.600000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.4m
Surface Detector,TA SD,TA_1015,39.281000,-112.940000,1383.714000,1.000000,-2693.600000,-1772.000000,13.700000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=6.4m
Surface Detector,TA SD,TA_1016,39.292000,-112.940000,1383.558000,1.000000,-2693.600000,-547.400000,13.500000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=6.5m
Surface Detector,TA SD,TA_1017,39.303000,-112.940000,1382.673000,1.000000,-2693.600000,677.100000,12.700000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.0m
Surface Detector,TA SD,TA_1018,39.314000,-112.940000,1381.339000,1.000000,-2693.600000,1901.600000,11.300000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.0m
Surface Detector,TA SD,TA_1019,39.325000,-112.940000,1380.487000,1.000000,-2693.600000,3126.100000,10.500000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.6m
Surface Detector,TA SD,TA_1020,39.335000,-112.940000,1386.707000,1.000000,-2693.600000,4239.300000,16.700000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.4m
Surface Detector,TA SD,TA_1021,39.346000,-112.940000,1402.221000,1.000000,-2693.600000,5463.800000,32.200000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.8m
Surface Detector,TA SD,TA_1022,39.357000,-112.940000,1411.688000,1.000000,-2693.600000,6688.300000,41.700000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.0m
Surface Detector,TA SD,TA_1023,39.368000,-112.940000,1429.577000,1.000000,-2693.600000,7912.800000,59.600000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.3m
Surface Detector,TA SD,TA_1024,39.379000,-112.940000,1440.756000,1.000000,-2693.600000,9137.400000,70.700000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=4.6m
Surface Detector,TA SD,TA_1025,39.390000,-112.940000,1449.076000,1.000000,-2693.600000,10361.900000,79.100000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=4.9m
Surface Detector,TA SD,TA_106,39.184000,-113.066000,1509.568000,1.000000,-13548.200000,-12569.900000,139.600000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=4.0m
Surface Detector,TA SD,TA_107,39.195000,-113.065000,1491.385000,1.000000,-13462.000000,-11345.400000,121.400000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.4m
Surface Detector,TA SD,TA_108,39.206000,-113.065000,1482.210000,1.000000,-13462.000000,-10120.900000,112.200000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.1m
Surface Detector,TA SD,TA_109,39.217000,-113.065000,1484.446000,1.000000,-13462.000000,-8896.400000,114.400000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.2m
Surface Detector,TA SD,TA_110,39.228000,-113.065000,1484.520000,1.000000,-13462.000000,-7671.900000,114.500000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.1m
Surface Detector,TA SD,TA_1101,39.130000,-112.926000,1366.536000,1.000000,-1487.600000,-18581.200000,-3.500000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.3m
Surface Detector,TA SD,TA_1102,39.139000,-112.928000,1366.734000,1.000000,-1659.900000,-17579.300000,-3.300000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=6.4m
Surface Detector,TA SD,TA_1103,39.152000,-112.926000,1367.943000,1.000000,-1487.600000,-16132.200000,-2.100000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.5m
Surface Detector,TA SD,TA_1104,39.162000,-112.926000,1367.291000,1.000000,-1487.600000,-15019.000000,-2.700000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.3m
Surface Detector,TA SD,TA_1105,39.173000,-112.926000,1367.269000,1.000000,-1487.600000,-13794.500000,-2.700000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.7m
Surface Detector,TA SD,TA_1106,39.184000,-112.926000,1368.770000,1.000000,-1487.600000,-12569.900000,-1.200000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=4.6m
Surface Detector,TA SD,TA_1107,39.195000,-112.926000,1370.082000,1.000000,-1487.600000,-11345.400000,0.100000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.3m
Surface Detector,TA SD,TA_1108,39.206000,-112.926000,1370.695000,1.000000,-1487.600000,-10120.900000,0.700000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.2m
Surface Detector,TA SD,TA_1109,39.217000,-112.926000,1370.708000,1.000000,-1487.600000,-8896.400000,0.700000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.1m
Surface Detector,TA SD,TA_111,39.238000,-113.065000,1469.900000,1.000000,-13462.000000,-6558.700000,99.900000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.5m
Surface Detector,TA SD,TA_1110,39.227000,-112.926000,1371.520000,1.000000,-1487.600000,-7783.200000,1.500000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.8m
Surface Detector,TA SD,TA_1111,39.238000,-112.926000,1374.143000,1.000000,-1487.600000,-6558.700000,4.100000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.7m
Surface Detector,TA SD,TA_1112,39.249000,-112.926000,1374.725000,1.000000,-1487.600000,-5334.200000,4.700000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=4.8m
Surface Detector,TA SD,TA_1113,39.260000,-112.926000,1374.568000,1.000000,-1487.600000,-4109.700000,4.600000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.8m
Surface Detector,TA SD,TA_1114,39.271000,-112.926000,1374.891000,1.000000,-1487.600000,-2885.100000,4.900000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=6.3m
Surface Detector,TA SD,TA_1115,39.281000,-112.926000,1376.674000,1.000000,-1487.600000,-1772.000000,6.700000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.1m
Surface Detector,TA SD,TA_1116,39.292000,-112.926000,1377.867000,1.000000,-1487.600000,-547.400000,7.800000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=6.1m
Surface Detector,TA SD,TA_1117,39.303000,-112.926000,1374.350000,1.000000,-1487.600000,677.100000,4.300000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.5m
Surface Detector,TA SD,TA_1118,39.314000,-112.926000,1374.495000,1.000000,-1487.600000,1901.600000,4.500000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.3m
Surface Detector,TA SD,TA_1119,39.325000,-112.926000,1373.940000,1.000000,-1487.600000,3126.100000,3.900000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.1m
Surface Detector,TA SD,TA_112,39.249000,-113.065000,1454.870000,1.000000,-13462.000000,-5334.200000,84.900000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.4m
Surface Detector,TA SD,TA_1120,39.336000,-112.926000,1375.979000,1.000000,-1487.600000,4350.600000,6.000000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.1m
Surface Detector,TA SD,TA_1121,39.346000,-112.926000,1384.060000,1.000000,-1487.600000,5463.800000,14.000000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.9m
Surface Detector,TA SD,TA_1122,39.357000,-112.926000,1392.145000,1.000000,-1487.600000,6688.300000,22.100000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=6.0m
Surface Detector,TA SD,TA_1123,39.368000,-112.926000,1398.891000,3.000000,-1487.600000,7912.800000,28.900000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,1,DEM interpolation outlier; iono_residual=7.5m
Surface Detector,TA SD,TA_1124,39.379000,-112.926000,1414.478000,1.000000,-1487.600000,9137.400000,44.500000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=6.0m
Surface Detector,TA SD,TA_1125,39.390000,-112.926000,1426.386000,1.000000,-1487.600000,10361.900000,56.400000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=4.9m
Surface Detector,TA SD,TA_1126,39.400000,-112.926000,1438.514000,1.000000,-1487.600000,11475.100000,68.500000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.8m
Surface Detector,TA SD,TA_113,39.260000,-113.065000,1445.720000,1.000000,-13462.000000,-4109.700000,75.700000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=6.0m
Surface Detector,TA SD,TA_114,39.271000,-113.065000,1450.532000,1.000000,-13462.000000,-2885.100000,80.500000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=6.5m
Surface Detector,TA SD,TA_115,39.282000,-113.065000,1455.887000,1.000000,-13462.000000,-1660.600000,85.900000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=4.8m
Surface Detector,TA SD,TA_116,39.292000,-113.065000,1468.024000,1.000000,-13462.000000,-547.400000,98.000000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=6.6m
Surface Detector,TA SD,TA_1201,39.130000,-112.912000,1367.860000,1.000000,-281.500000,-18581.200000,-2.200000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.7m
Surface Detector,TA SD,TA_1202,39.140000,-112.910000,1369.495000,1.000000,-109.200000,-17468.000000,-0.500000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=4.8m
Surface Detector,TA SD,TA_1203,39.152000,-112.912000,1368.865000,1.000000,-281.500000,-16132.200000,-1.200000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.0m
Surface Detector,TA SD,TA_1204,39.162000,-112.912000,1367.593000,1.000000,-281.500000,-15019.000000,-2.400000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=4.7m
Surface Detector,TA SD,TA_1205,39.173000,-112.912000,1366.581000,1.000000,-281.500000,-13794.500000,-3.400000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=7.1m
Surface Detector,TA SD,TA_1206,39.184000,-112.912000,1368.101000,1.000000,-281.500000,-12569.900000,-1.900000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.9m
Surface Detector,TA SD,TA_1207,39.195000,-112.912000,1368.902000,1.000000,-281.500000,-11345.400000,-1.100000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.8m
Surface Detector,TA SD,TA_1208,39.206000,-112.912000,1369.714000,1.000000,-281.500000,-10120.900000,-0.300000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.3m
Surface Detector,TA SD,TA_1209,39.216000,-112.912000,1370.837000,1.000000,-281.500000,-9007.700000,0.800000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.1m
