# SD_corrected_positions.csv
# Corrected SD positions in WGS84/ITRF, consistent with FD telescope positions
# Generated from TA_TALE_TAx4 GPS & NED.xlsx (Kido/Okuda analysis)
#
# Height correction: h_itrf = H_NED + N_geoid + h_antenna - 0.73
#   H_NED:      USGS NED orthometric height (NAVD88)
#   N_geoid:    GEOID12B undulation (NAD83 ellipsoid to NAVD88 geoid)
#   h_antenna:  SD GPS antenna height above ground (0.89 m)
#   -0.73:      NAD83 to WGS84/ITRF frame correction
#
# Horizontal coordinates: from Motorola Oncore GPS (WGS84, minimal iono effect)
# Vertical coordinate:    from NED + geoid (avoids ~5.3 m L1 ionospheric bias)
#
# outlier: 1 = outside IQR fences, likely DEM interpolation error on slopes
# iono_residual: h_gps - h_itrf (measures ionospheric height bias per station)
#
array,site,latitude,longitude,h_itrf_corrected,h_gps_raw,h_ned_ortho,N_geoid,iono_residual,outlier
TA,806,39.184,-112.968,1390.869,1396.970,1410.810,-20.101,6.101,0
TA,807,39.195,-112.968,1379.963,1386.690,1399.890,-20.087,6.727,0
TA,808,39.206,-112.968,1381.406,1387.080,1401.320,-20.074,5.674,0
TA,809,39.217,-112.968,1382.861,1388.860,1402.760,-20.059,5.999,0
TA,810,39.227,-112.968,1388.175,1393.600,1408.060,-20.045,5.425,0
TA,811,39.238,-112.968,1387.960,1393.740,1407.830,-20.030,5.780,0
TA,812,39.249,-112.968,1387.554,1393.370,1407.410,-20.016,5.816,0
TA,813,39.260,-112.968,1390.519,1395.570,1410.360,-20.001,5.051,0
TA,814,39.271,-112.968,1398.315,1403.900,1418.140,-19.985,5.585,0
TA,815,39.281,-112.968,1398.031,1403.030,1417.840,-19.969,4.999,0
TA,816,39.292,-112.968,1401.038,1405.800,1420.830,-19.952,4.762,0
TA,817,39.303,-112.968,1400.874,1406.100,1420.650,-19.936,5.226,0
TA,818,39.314,-112.968,1400.903,1406.040,1420.660,-19.917,5.137,0
TA,819,39.325,-112.968,1410.534,1415.150,1430.270,-19.896,4.616,0
TA,820,39.335,-112.968,1416.729,1423.130,1436.440,-19.871,6.401,0
TA,821,39.346,-112.968,1429.506,1434.150,1449.190,-19.844,4.644,0
TA,822,39.357,-112.968,1454.698,1459.830,1474.350,-19.812,5.132,0
TA,823,39.368,-112.967,1489.393,1494.200,1509.010,-19.777,4.807,0
TA,901,39.130,-112.954,1361.097,1366.300,1381.070,-20.133,5.203,0
TA,902,39.141,-112.954,1366.312,1371.930,1386.280,-20.128,5.618,0
TA,903,39.152,-112.954,1367.699,1373.090,1387.660,-20.121,5.391,0
TA,904,39.163,-112.950,1368.191,1374.110,1388.140,-20.109,5.919,0
TA,905,39.173,-112.954,1375.727,1380.860,1395.670,-20.103,5.133,0
TA,906,39.184,-112.954,1373.790,1379.370,1393.720,-20.090,5.580,0
TA,907,39.195,-112.954,1374.502,1380.700,1394.420,-20.078,6.198,0
TA,908,39.206,-112.954,1374.785,1380.690,1394.690,-20.065,5.905,0
TA,909,39.217,-112.954,1378.609,1383.790,1398.500,-20.051,5.181,0
TA,910,39.227,-112.954,1381.654,1386.670,1401.530,-20.036,5.016,0
TA,911,39.238,-112.954,1380.328,1385.630,1400.190,-20.022,5.302,0
TA,912,39.249,-112.954,1380.851,1386.100,1400.700,-20.009,5.249,0
TA,913,39.260,-112.954,1383.755,1389.210,1403.590,-19.995,5.455,0
TA,914,39.271,-112.954,1385.571,1389.530,1405.390,-19.979,3.959,0
TA,915,39.281,-112.954,1392.477,1397.630,1412.280,-19.963,5.153,0
TA,916,39.292,-112.954,1391.842,1395.530,1411.630,-19.948,3.688,0
TA,917,39.303,-112.954,1390.868,1395.660,1410.640,-19.932,4.792,0
TA,918,39.314,-112.954,1389.605,1394.170,1409.360,-19.915,4.565,0
TA,919,39.325,-112.954,1395.095,1400.230,1414.830,-19.895,5.135,0
TA,920,39.335,-112.954,1402.058,1408.090,1421.770,-19.872,6.032,0
TA,921,39.346,-112.954,1411.953,1418.630,1431.640,-19.847,6.677,0
TA,922,39.357,-112.954,1432.692,1438.320,1452.350,-19.818,5.628,0
TA,923,39.368,-112.954,1448.904,1454.070,1468.530,-19.786,5.166,0
TA,924,39.379,-112.954,1466.527,1471.940,1486.120,-19.753,5.413,0
TA,1001,39.131,-112.939,1365.098,1370.960,1385.050,-20.112,5.862,0
TA,1002,39.141,-112.940,1366.829,1372.030,1386.780,-20.111,5.201,0
TA,1003,39.152,-112.940,1368.265,1373.330,1388.210,-20.105,5.065,0
TA,1004,39.162,-112.940,1366.662,1372.710,1386.600,-20.098,6.048,0
TA,1005,39.173,-112.940,1369.021,1374.590,1388.950,-20.089,5.569,0
TA,1006,39.184,-112.940,1370.392,1376.840,1390.310,-20.078,6.448,0
TA,1007,39.195,-112.940,1371.745,1377.950,1391.650,-20.065,6.205,0
TA,1008,39.206,-112.940,1372.248,1377.830,1392.140,-20.052,5.582,0
