name1,name2,ref,S,H,V
BR_M00,MD_MD2,OPUS,39722.605,39722.169,186.036
BR_M00,MD_CXF,OPUS,39885.126,39884.662,192.460
BR_M00,MD_M01,OPUS,39906.351,39905.888,192.401
BR_M00,MD_M10,OPUS,39906.070,39905.606,192.276
BR_M00,MD_M11,OPUS,39902.614,39902.150,192.386
BR_M00,MD_M12,OPUS,39900.739,39900.276,192.289
BR_M00,MD_M13,OPUS,39896.303,39895.839,192.405
BR_M00,MD_M02,OPUS,39907.658,39907.195,192.295
BR_M00,MD_M03,OPUS,39909.803,39909.340,192.388
BR_M00,MD_M04,OPUS,39910.473,39910.010,192.285
BR_M00,MD_M06,OPUS,39911.189,39910.726,192.270
BR_M00,MD_M07,OPUS,39910.378,39909.914,192.371
BR_M00,MD_M08,OPUS,39909.660,39909.197,192.266
BR_M00,MD_M09,OPUS,39907.425,39906.962,192.385
BR_M00,MD_MD2,OPUS,39722.598,39722.163,186.036
BR_M01,BR_M02,OPUS,5.998,4.489,3.979
BR_M01,BR_M04,OPUS,8.706,7.753,3.960
BR_M01,BR_M04,OPUS,8.708,7.757,3.957
BR_M01,BR_M05,OPUS,7.749,7.749,0.007
BR_M01,BR_BR2,OPUS,73.174,72.949,5.727
BR_M01,BR_ELS,OPUS,101.920,101.883,2.728
BR_M01,BR_BR2,OPUS,73.174,72.949,5.726
BR_M01,BR_M00,OPUS,3.986,0.383,3.967
BR_M01,BR_M00,OPUS,3.873,0.384,3.854
BR_M01,BR_M00,OPUS,3.876,0.383,3.857
BR_M01,BR_M02,OPUS,5.997,4.491,3.974
BR_M01,BR_M02,OPUS,5.998,4.491,3.977
BR_M01,BR_M02,OPUS,5.998,4.491,3.977
BR_M01,BR_M03,OPUS,4.550,4.550,0.011
BR_M01,BR_BR2,OPUS,73.175,72.950,5.730
BR_M01,BR_M00,OPUS,3.988,0.381,3.970
BR_M01,BR_M00,OPUS,3.988,0.410,3.966
BR_M01,BR_M01,OPUS,0.004,0.004,0.001
BR_M01,BR_M02,OPUS,5.997,4.488,3.978
BR_M01,BR_M03,OPUS,4.539,4.539,0.017
BR_M01,BR_M04,OPUS,8.712,7.760,3.959
BR_M01,BR_M04,OPUS,8.705,7.752,3.959
BR_M01,BR_M04,OPUS,8.713,7.764,3.955
BR_M01,BR_M05,OPUS,7.753,7.753,0.005
BR_M01,BR_M05,OPUS,7.751,7.751,0.006
BR_M01,BR2_BR1,OPUS,68.513,68.304,5.345
BR_M01,BR2_ELS,OPUS,63.834,63.771,2.850
BR_M01,BR2_BR1,OPUS,68.513,68.304,5.349
BR_M01,BR2_M10,OPUS,11.843,11.165,3.950
BR_M01,BR2_M10,OPUS,11.821,11.141,3.950
BR_M01,BR2_M10,OPUS,11.862,11.185,3.950
BR_M01,BR2_M10,OPUS,11.841,11.164,3.947
BR_M01,BR2_M11,OPUS,10.914,10.914,0.013
BR_M01,BR2_M06,OPUS,5.337,3.581,3.958
BR_M01,BR2_M06,OPUS,5.305,3.540,3.951
BR_M01,BR2_M07,OPUS,3.349,3.348,0.072
BR_M01,BR2_M07,OPUS,3.343,3.343,0.003
BR_M01,BR2_M07,OPUS,3.354,3.354,0.012
BR_M01,BR2_M08,OPUS,15.423,14.906,3.957
BR_M01,BR2_M09,OPUS,14.794,14.794,0.008
BR_M01,BR2_M09,OPUS,14.796,14.796,0.014
BR_M01,BR2_BR1,OPUS,68.513,68.304,5.353
BR_M01,BR2_M10,OPUS,11.837,11.157,3.955
BR_M01,BR2_M11,OPUS,10.905,10.905,0.008
BR_M01,BR2_M06,OPUS,5.322,3.551,3.964
BR_M01,BR2_M07,OPUS,3.338,3.338,0.005
BR_M01,BR2_M08,OPUS,15.420,14.902,3.965
BR_M01,CLF_CLF2,OPUS,10278822.551,6074116.419,8292122.934
BR_M01,CLF_CLF,OPUS,10278934.038,6074059.507,8292302.821
BR_M01,CLF_CLF,OPUS,10278934.041,6074059.506,8292302.825
BR_M01,CLF_CLF2,OPUS,10278822.508,6074116.370,8292122.917
BR_M01,LR_LR2,OPUS,35412.369,35412.100,137.952
BR_M01,LR_M10,OPUS,35455.379,35455.087,144.063
BR_M01,LR_M11,OPUS,35455.703,35455.394,148.009
BR_M01,LR_M11,OPUS,35455.696,35455.387,148.012
BR_M01,LR_M11,OPUS,35455.712,35455.403,148.008
BR_M01,LR_M06,OPUS,35457.404,35457.112,144.072
BR_M01,LR_M07,OPUS,35457.765,35457.456,148.020
BR_M01,LR_M08,OPUS,35456.389,35456.096,144.056
BR_M01,LR_M09,OPUS,35456.768,35456.459,148.013
BR_M01,LR2_LR1,OPUS,35387.954,35387.688,137.428
BR_M01,LR2_M00,OPUS,35459.793,35459.501,144.055
BR_M01,LR2_M01,OPUS,35459.917,35459.608,148.008
BR_M01,LR2_M01,OPUS,35459.916,35459.607,148.009
BR_M01,LR2_M01,OPUS,35459.918,35459.609,148.001
BR_M01,LR2_M02,OPUS,35463.579,35463.287,144.048
BR_M01,LR2_M03,OPUS,35463.826,35463.517,148.001
BR_M01,LR2_M04,OPUS,35455.684,35455.391,144.060
BR_M01,LR2_M05,OPUS,35455.998,35455.689,148.012
BR_M01,LR2_M05,OPUS,35456.009,35455.700,148.009
BR_M01,LR2_M05,OPUS,35455.996,35455.687,148.016
BR_M01,MD_MD2,OPUS,39722.698,39722.281,182.067
BR_M01,MD_CXF,OPUS,39885.243,39884.798,188.492
BR_M01,MD_M01,OPUS,39906.449,39906.005,188.433
