name,ref,latitude,longitude,alt
BR1_BR2,CSRS,39.188847910,-112.712312116,1394.668,16973.543,-11982.144,-9.211
BR1_M00,CSRS,39.188304698,-112.711839849,1396.651,17014.489,-12042.379,-7.451
BR1_M00,CSRS,39.188304705,-112.711840200,1396.654,17014.459,-12042.379,-7.447
BR1_M01,CSRS,39.188305778,-112.711835772,1400.621,17014.852,-12042.266,-3.482
BR1_M02,CSRS,39.188265402,-112.711831285,1396.653,17015.239,-12046.741,-7.459
BR1_M03,CSRS,39.188265432,-112.711827071,1400.615,17015.614,-12046.745,-3.498
BR1_M04,CSRS,39.188372902,-112.711811071,1396.654,17016.960,-12034.800,-7.439
BR1_M04,CSRS,39.188372894,-112.711811385,1396.654,17016.933,-12034.801,-7.439
BR1_M04,CSRS,39.188372881,-112.711810832,1396.658,17016.981,-12034.803,-7.436
BR1_M05,CSRS,39.188371911,-112.711807100,1400.620,17017.314,-12034.917,-3.475
BR1_M05,CSRS,39.188371887,-112.711807065,1400.621,17017.317,-12034.920,-3.474
BR2_BR1,CSRS,39.188360910,-112.712622781,1395.084,16946.815,-12036.281,-8.826
BR2_ELS,CSRS,39.188529172,-112.712515445,1397.568,16956.057,-12017.582,-6.331
BR2_BR1,CSRS,39.188360897,-112.712622790,1395.081,16946.814,-12036.283,-8.829
BR2_M10,CSRS,39.188396913,-112.711781221,1396.665,17019.534,-12032.128,-7.431
BR2_M10,CSRS,39.188396626,-112.711781080,1396.665,17019.546,-12032.160,-7.430
BR2_M10,CSRS,39.188397164,-112.711781367,1396.665,17019.521,-12032.101,-7.431
BR2_M10,CSRS,39.188396905,-112.711781232,1396.668,17019.533,-12032.129,-7.428
BR2_M11,CSRS,39.188393891,-112.711779776,1400.629,17019.670,-12032.471,-3.468
BR2_M06,CSRS,39.188337918,-112.711833655,1396.657,17015.017,-12038.689,-7.439
BR2_M06,CSRS,39.188337541,-112.711833303,1396.665,17015.047,-12038.731,-7.431
BR2_M07,CSRS,39.188335634,-112.711830331,1400.689,17015.315,-12038.950,-3.409
BR2_M07,CSRS,39.188335585,-112.711830285,1400.619,17015.319,-12038.955,-3.478
BR2_M07,CSRS,39.188335693,-112.711830386,1400.628,17015.310,-12038.943,-3.469
BR2_M08,CSRS,39.188415197,-112.711735805,1396.664,17023.454,-12030.090,-7.438
BR2_M09,CSRS,39.188412611,-112.711733444,1400.631,17023.669,-12030.384,-3.473
BR2_M09,CSRS,39.188412705,-112.711733568,1400.637,17023.658,-12030.373,-3.466
BR2_BR1,CSRS,39.188360904,-112.712622785,1395.076,16946.815,-12036.282,-8.834
BR2_M10,CSRS,39.188396860,-112.711781287,1396.660,17019.528,-12032.134,-7.435
BR2_M11,CSRS,39.188393830,-112.711779850,1400.624,17019.663,-12032.478,-3.472
BR2_M06,CSRS,39.188337646,-112.711833552,1396.651,17015.026,-12038.719,-7.445
BR2_M07,CSRS,39.188335529,-112.711830247,1400.622,17015.322,-12038.961,-3.476
BR2_M08,CSRS,39.188415182,-112.711735864,1396.657,17023.449,-12030.091,-7.445
CLF1_CLF2,CSRS,39.295168695,-112.908722927,1370.036,0.828,-194.245,-0.013
CLF1_CLF,CSRS,39.296917856,-112.908732528,1370.035,-0.000,-0.009,-0.011
CLF1_CLF,CSRS,39.296917835,-112.908732486,1370.035,0.003,-0.011,-0.011
CLF1_CLF2,CSRS,39.295168679,-112.908722925,1369.984,0.828,-194.246,-0.065
LR1_LR2,CSRS,39.208366527,-113.120868335,1538.384,-18326.914,-9811.891,134.484
LR1_M10,CSRS,39.207883691,-113.121403769,1544.712,-18373.315,-9865.409,140.596
LR1_M11,CSRS,39.207885031,-113.121407104,1548.658,-18373.614,-9865.266,144.541
LR1_M11,CSRS,39.207884994,-113.121407023,1548.662,-18373.607,-9865.270,144.545
LR1_M11,CSRS,39.207884998,-113.121407214,1548.658,-18373.624,-9865.269,144.540
LR1_M06,CSRS,39.207953955,-113.121421903,1544.714,-18374.864,-9857.603,140.605
LR1_M07,CSRS,39.207953354,-113.121425813,1548.662,-18375.213,-9857.675,144.552
LR1_M08,CSRS,39.207845617,-113.121418366,1544.715,-18374.586,-9869.634,140.589
LR1_M09,CSRS,39.207846099,-113.121422407,1548.673,-18374.947,-9869.586,144.546
LR2_LR1,CSRS,39.207869238,-113.120623603,1537.855,-18305.899,-9867.161,133.930
LR2_M00,CSRS,39.207980482,-113.121447604,1544.667,-18377.077,-9854.652,140.556
LR2_M01,CSRS,39.207977664,-113.121448941,1548.621,-18377.204,-9854.971,144.509
LR2_M01,CSRS,39.207977768,-113.121448921,1548.622,-18377.203,-9854.959,144.511
LR2_M01,CSRS,39.207977589,-113.121448955,1548.614,-18377.206,-9854.979,144.503
LR2_M02,CSRS,39.208003087,-113.121489781,1544.667,-18380.715,-9852.133,140.550
LR2_M03,CSRS,39.208000905,-113.121492493,1548.620,-18380.961,-9852.381,144.502
LR2_M04,CSRS,39.207916634,-113.121404820,1544.672,-18373.397,-9861.750,140.561
LR2_M05,CSRS,39.207915227,-113.121408257,1548.626,-18373.706,-9861.912,144.513
LR2_M05,CSRS,39.207915218,-113.121408383,1548.623,-18373.717,-9861.913,144.511
LR2_M05,CSRS,39.207915268,-113.121408223,1548.629,-18373.703,-9861.908,144.517
MD1_MD2,CSRS,39.472350644,-112.991791933,1582.463,-7148.822,19485.133,178.581
MD1_CXF,CSRS,39.472757350,-112.994203964,1589.263,-7356.387,19530.512,185.006
MD1_M01,CSRS,39.472824869,-112.994494022,1589.255,-7381.345,19538.034,184.947
MD1_M10,CSRS,39.472992239,-112.994209767,1589.160,-7356.862,19556.597,184.823
MD1_M11,CSRS,39.472988716,-112.994150007,1589.262,-7351.719,19556.201,184.932
MD1_M12,CSRS,39.472983853,-112.994122530,1589.161,-7349.355,19555.659,184.835
MD1_M13,CSRS,39.472966780,-112.994066671,1589.264,-7344.549,19553.758,184.950
MD1_M14,CSRS,39.472956059,-112.994041979,1589.166,-7342.425,19552.566,184.858
MD1_M02,CSRS,39.472845545,-112.994484707,1589.153,-7380.541,19540.329,184.839
MD1_M03,CSRS,39.472886660,-112.994456838,1589.260,-7378.138,19544.893,184.935
MD1_M04,CSRS,39.472904380,-112.994440037,1589.160,-7376.690,19546.859,184.830
MD1_M05,CSRS,39.472937777,-112.994398390,1589.255,-7373.102,19550.565,184.918
MD1_M06,CSRS,39.472951036,-112.994375855,1589.155,-7371.161,19552.035,184.815
MD1_M07,CSRS,39.472973293,-112.994323300,1589.257,-7366.636,19554.503,184.915
MD1_M08,CSRS,39.472980987,-112.994296826,1589.153,-7364.356,19555.355,184.811
MD1_M09,CSRS,39.472990835,-112.994237961,1589.271,-7359.289,19556.444,184.931
MD1_MD2,CSRS,39.472350745,-112.991792226,1582.461,-7148.847,19485.144,178.579
MD1_CXF,CSRS,39.472757364,-112.994203962,1589.259,-7356.387,19530.514,185.003
MD1_M01,CSRS,39.472824933,-112.994494298,1589.253,-7381.369,19538.041,184.944
MD1_M10,CSRS,39.472992269,-112.994209784,1589.156,-7356.863,19556.600,184.819
MD1_M11,CSRS,39.472988720,-112.994150019,1589.259,-7351.720,19556.202,184.929
MD1_M12,CSRS,39.472983856,-112.994122534,1589.157,-7349.355,19555.659,184.832
MD1_M13,CSRS,39.472966795,-112.994066699,1589.262,-7344.551,19553.760,184.948
MD1_M02,CSRS,39.472845556,-112.994484741,1589.153,-7380.544,19540.330,184.838
MD1_M03,CSRS,39.472886692,-112.994456859,1589.257,-7378.140,19544.896,184.931
MD1_M04,CSRS,39.472904396,-112.994440069,1589.158,-7376.693,19546.861,184.828
MD1_M06,CSRS,39.472951026,-112.994375875,1589.152,-7371.163,19552.034,184.813
MD1_M07,CSRS,39.472973295,-112.994323301,1589.255,-7366.636,19554.503,184.914
